Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
26,1,Travel_Rarely,1427,Research & Development,18,1,Other,1,923,3,Female,65,2,1,Research Scientist,3,Single,2154.4,8870,1,Y,No,19,3,1,80,0,1,3,1,0,0,0,0
39,1,Travel_Rarely,790,Sales,24,4,Medical,1,1489,1,Female,40,1,2,Sales Executive,1,Single,3679.2,7815,0,Y,Yes,23,4,3,80,0,16,2,3,13,9,10,10
53,1,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,825,3,Male,31,2,5,Research Director,1,Single,15396.8,25761,7,Y,Yes,12,3,4,80,0,40,2,2,29,15,13,8
41,1,Travel_Rarely,669,Sales,9,2,Medical,1,118,2,Male,64,1,3,Sales Executive,3,Single,7695.200000000001,13596,1,Y,No,16,3,4,80,0,9,3,2,7,8,4,7
30,1,Travel_Rarely,867,Sales,19,2,Marketing,1,952,2,Male,36,1,1,Sales Representative,1,Married,1930.4,18798,1,Y,Yes,18,3,3,80,3,1,2,2,0,0,0,0
23,1,Travel_Frequently,1306,Sales,5,3,Marketing,1,614,1,Male,69,2,1,Sales Representative,1,Single,1502.4,8059,1,Y,Yes,14,3,4,80,0,0,3,2,0,0,0,0
43,1,Travel_Rarely,903,Research & Development,2,3,Medical,1,1573,2,Male,81,2,2,Manufacturing Director,1,Married,3884.0,7653,4,Y,No,11,3,1,80,2,7,2,2,3,2,1,4
36,1,Travel_Rarely,249,Sales,6,4,Life Sciences,1,163,1,Male,76,1,2,Sales Executive,2,Married,4937.6,20739,4,Y,Yes,18,3,2,80,0,12,3,1,5,7,7,7
26,1,Travel_Rarely,1427,Research & Development,18,1,Other,1,923,3,Female,65,2,1,Research Scientist,3,Single,2154.4,8870,1,Y,No,19,3,1,80,0,1,3,1,0,0,0,0
47,1,Travel_Rarely,266,Sales,2,1,Marketing,1,1038,1,Female,57,1,5,Manager,3,Married,15876.0,25846,1,Y,No,15,3,4,80,1,33,3,2,30,14,6,9
39,1,Travel_Frequently,429,Research & Development,1,2,Medical,1,1792,2,Male,99,2,1,Research Scientist,1,Divorced,1873.6,11092,1,Y,Yes,12,3,3,80,3,6,2,1,3,3,2,3
31,1,Travel_Rarely,920,Human Resources,20,2,Medical,1,1818,3,Female,69,2,1,Human Resources,1,Married,1718.4,6889,0,Y,Yes,11,3,3,80,0,6,3,2,3,1,1,4
29,1,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,647,1,Female,55,2,1,Laboratory Technician,2,Married,2308.8,14168,1,Y,Yes,16,3,4,80,1,6,4,2,4,3,1,2
37,1,Travel_Rarely,964,Sales,1,2,Life Sciences,1,1734,1,Male,34,1,2,Sales Executive,1,Single,5388.0,12147,6,Y,No,15,3,2,80,0,10,2,2,0,0,0,0
50,1,Travel_Rarely,725,Research & Development,2,3,Medical,1,787,3,Male,78,2,5,Manager,1,Married,15887.2,21199,5,Y,Yes,13,3,4,80,1,24,2,2,3,2,1,4
40,1,Travel_Rarely,622,Research & Development,14,4,Other,1,1010,2,Male,39,1,1,Laboratory Technician,1,Divorced,2994.4,10074,1,Y,Yes,24,4,4,80,1,5,2,1,2,2,0,2
37,1,Travel_Rarely,374,Research & Development,25,4,Life Sciences,1,911,1,Male,87,2,1,Laboratory Technician,3,Single,2236.0,18016,1,Y,Yes,24,4,3,80,0,1,2,1,0,0,0,1
27,1,Travel_Rarely,617,Research & Development,3,1,Life Sciences,1,926,1,Female,34,2,2,Manufacturing Director,2,Married,3336.8,10022,0,Y,Yes,19,3,1,80,1,4,3,3,1,2,0,2
40,1,Travel_Rarely,1449,Sales,2,3,Marketing,1,1277,1,Female,94,1,5,Manager,1,Single,15059.2,2493,2,Y,Yes,16,3,1,80,0,26,2,2,22,10,1,11
40,1,Travel_Rarely,1204,Sales,4,3,Technical Degree,1,1100,3,Male,86,2,3,Sales Executive,1,Single,7665.6,10333,0,Y,Yes,22,4,1,80,0,9,2,2,6,7,4,7
24,1,Non-Travel,504,Research & Development,10,3,Medical,1,1248,1,Female,96,1,1,Research Scientist,1,Single,1487.2,6148,1,Y,Yes,25,4,2,80,0,1,2,3,0,1,0,0
